Entrez_Gene_Id,DepMap_ID
50636,ACH-000045
2898,ACH-000045
5803,ACH-000045
1969,ACH-000046
23090,ACH-000047
7157,ACH-000047
284312,ACH-000047
2492,ACH-000047
6331,ACH-000047
8989,ACH-000047
138803,ACH-000047
7157,ACH-000048
1499,ACH-000048
56125,ACH-000048
64651,ACH-000049
4893,ACH-000050
8085,ACH-000050
0,ACH-000050
137970,ACH-000050
6262,ACH-000051
79677,ACH-000051
65217,ACH-000052
23180,ACH-000052
673,ACH-000052
51199,ACH-000053
7157,ACH-000053
11321,ACH-000053
79776,ACH-000053
169200,ACH-000053
4893,ACH-000054
23005,ACH-000054
79585,ACH-000054
94025,ACH-000054
3417,ACH-000054
344657,ACH-000054
7204,ACH-000054
23307,ACH-000054
1634,ACH-000055
7157,ACH-000055
339829,ACH-000055
1807,ACH-000055
392862,ACH-000056
64599,ACH-000056
4609,ACH-000056
27130,ACH-000056
55729,ACH-000057
113622,ACH-000057
7157,ACH-000057
9842,ACH-000057
79633,ACH-000057
1029,ACH-000057
23325,ACH-000058
284434,ACH-000058
151011,ACH-000058
337,ACH-000059
23187,ACH-000059
8131,ACH-000059
27429,ACH-000059
285242,ACH-000059
9859,ACH-000060
3845,ACH-000060
57194,ACH-000060
7157,ACH-000060
2524,ACH-000060
53632,ACH-000060
116987,ACH-000060
4131,ACH-000060
11016,ACH-000061
8881,ACH-000061
7157,ACH-000061
442038,ACH-000061
3751,ACH-000061
5239,ACH-000061
7157,ACH-000062
79958,ACH-000062
3908,ACH-000062
54467,ACH-000062
91694,ACH-000062
8439,ACH-000062
23245,ACH-000062
23768,ACH-000063
114790,ACH-000063
4853,ACH-000064
259266,ACH-000064
53635,ACH-000064
339977,ACH-000064
114787,ACH-000064
5781,ACH-000065
6654,ACH-000065
0,ACH-000066
339479,ACH-000066
8029,ACH-000066
4753,ACH-000066
7157,ACH-000066
1956,ACH-000066
2475,ACH-000067
9659,ACH-000067
7157,ACH-000067
6795,ACH-000067
11005,ACH-000067
1956,ACH-000067
10142,ACH-000067
6913,ACH-000068
7157,ACH-000068
7157,ACH-000068
147837,ACH-000068
342892,ACH-000068
653,ACH-000068
7373,ACH-000068
50515,ACH-000069
5023,ACH-000069
23505,ACH-000069
0,ACH-000069
4893,ACH-000070
148811,ACH-000070
56288,ACH-000070
29954,ACH-000070
9348,ACH-000070
1767,ACH-000070
1496,ACH-000071
1452,ACH-000071
0,ACH-000071
84033,ACH-000072
54497,ACH-000072
90134,ACH-000072
386681,ACH-000072
23355,ACH-000072
55589,ACH-000072
57699,ACH-000072
93035,ACH-000072
270,ACH-000073
472,ACH-000073
124842,ACH-000073
60676,ACH-000074
63901,ACH-000074
2998,ACH-000074
9205,ACH-000074
7157,ACH-000074
160,ACH-000074
171023,ACH-000074
5728,ACH-000075
84867,ACH-000075
1770,ACH-000075
4763,ACH-000075
4584,ACH-000075
7157,ACH-000076
63926,ACH-000076
55799,ACH-000076
440279,ACH-000077
11136,ACH-000077
2641,ACH-000077
57540,ACH-000079
399814,ACH-000079
3636,ACH-000079
5780,ACH-000079
1281,ACH-000079
80737,ACH-000079
1303,ACH-000079
5506,ACH-000079
5899,ACH-000080
80309,ACH-000080
57562,ACH-000081
5781,ACH-000081
79724,ACH-000081
55852,ACH-000081
162989,ACH-000081
55622,ACH-000081
91289,ACH-000081
22854,ACH-000082
64215,ACH-000082
1119,ACH-000082
7157,ACH-000082
65059,ACH-000082
334,ACH-000083
23348,ACH-000083
94025,ACH-000083
25861,ACH-000083
10806,ACH-000084
23451,ACH-000084
3845,ACH-000085
79158,ACH-000085
2103,ACH-000085
7157,ACH-000085
57679,ACH-000085
2033,ACH-000085
2743,ACH-000085
4124,ACH-000085
390061,ACH-000086
6597,ACH-000086
57577,ACH-000086
2195,ACH-000086
84059,ACH-000086
133482,ACH-000086
6482,ACH-000086
158401,ACH-000086
10439,ACH-000086
9859,ACH-000087
7103,ACH-000087
161725,ACH-000087
7157,ACH-000087
256227,ACH-000087
5896,ACH-000088
84988,ACH-000088
399909,ACH-000089
3845,ACH-000089
54715,ACH-000089
7157,ACH-000089
84643,ACH-000089
64762,ACH-000089
1293,ACH-000089
51378,ACH-000089
9859,ACH-000090
321,ACH-000090
9899,ACH-000090
4779,ACH-000090
4645,ACH-000090
151651,ACH-000090
3006,ACH-000090
5728,ACH-000091
3363,ACH-000091
3845,ACH-000091
26059,ACH-000091
389207,ACH-000091
